"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"1",0.39,0.39,2,1,4,0,1,0.5,0.05,100,70,10000
"2",0.45,0.39,2,1,4,0,1,0.5,0.05,100,70,10000
"3",0.51,0.39,2,1,4,0,1,0.5,0.05,100,70,10000
"4",0.57,0.39,2,1,4,0,1,0.5,0.05,100,70,10000
"5",0.63,0.39,2,1,4,0,1,0.5,0.05,100,70,10000
"6",0.39,0.39,2,1,4,0,0.75,0.5,0.05,100,70,10000
"7",0.45,0.39,2,1,4,0,0.75,0.5,0.05,100,70,10000
"8",0.51,0.39,2,1,4,0,0.75,0.5,0.05,100,70,10000
"9",0.57,0.39,2,1,4,0,0.75,0.5,0.05,100,70,10000
"10",0.63,0.39,2,1,4,0,0.75,0.5,0.05,100,70,10000
"11",0.39,0.39,2,1,4,0,0.5,0.5,0.05,100,70,10000
"12",0.45,0.39,2,1,4,0,0.5,0.5,0.05,100,70,10000
"13",0.51,0.39,2,1,4,0,0.5,0.5,0.05,100,70,10000
"14",0.57,0.39,2,1,4,0,0.5,0.5,0.05,100,70,10000
"15",0.63,0.39,2,1,4,0,0.5,0.5,0.05,100,70,10000
"16",0.39,0.39,2,1,4,0,0.25,0.5,0.05,100,70,10000
"17",0.45,0.39,2,1,4,0,0.25,0.5,0.05,100,70,10000
"18",0.51,0.39,2,1,4,0,0.25,0.5,0.05,100,70,10000
"19",0.57,0.39,2,1,4,0,0.25,0.5,0.05,100,70,10000
"20",0.63,0.39,2,1,4,0,0.25,0.5,0.05,100,70,10000
"21",0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"22",0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"23",0.51,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"24",0.57,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"25",0.63,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"26",0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"27",0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"28",0.51,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"29",0.57,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"30",0.63,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"31",0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"32",0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"33",0.51,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"34",0.57,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"35",0.63,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"36",0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"37",0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"38",0.51,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"39",0.57,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"40",0.63,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"41",0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"42",0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"43",0.51,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"44",0.57,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"45",0.63,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"46",0.39,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"47",0.45,0.39,2,1,4,0,10,0.5,0.05,100,70,65
"48",0.51,0.39,2,1,4,0,10,0.5,0.05,100,70,65
